DATE,ZAFCPIALLMINMEI
1960-01-01,1.34589704262444
1960-02-01,1.34589704262444
1960-03-01,1.35041347565338
1960-04-01,1.35492990868232
1960-05-01,1.35944634171126
1960-06-01,1.36396277474021
1960-07-01,1.36396277474021
1960-08-01,1.36847920776915
1960-09-01,1.36847920776915
1960-10-01,1.36847920776915
1960-11-01,1.36847920776915
1960-12-01,1.36847920776915
1961-01-01,1.37299564079809
1961-02-01,1.37751207382703
1961-03-01,1.37751207382703
1961-04-01,1.38202850685597
1961-05-01,1.39106137291385
1961-06-01,1.39106137291385
1961-07-01,1.39106137291385
1961-08-01,1.39557780594279
1961-09-01,1.39557780594279
1961-10-01,1.39557780594279
1961-11-01,1.40461067200068
1961-12-01,1.39557780594279
1962-01-01,1.39557780594279
1962-02-01,1.39557780594279
1962-03-01,1.40009423897174
1962-04-01,1.40461067200068
1962-05-01,1.40912710502962
1962-06-01,1.40912710502962
1962-07-01,1.40912710502962
1962-08-01,1.40912710502962
1962-09-01,1.40912710502962
1962-10-01,1.40912710502962
1962-11-01,1.40912710502962
1962-12-01,1.4181599710875
1963-01-01,1.42267640411644
1963-02-01,1.4181599710875
1963-03-01,1.4181599710875
1963-04-01,1.4181599710875
1963-05-01,1.4181599710875
1963-06-01,1.42267640411644
1963-07-01,1.42719283714538
1963-08-01,1.43170927017432
1963-09-01,1.43170927017432
1963-10-01,1.43170927017432
1963-11-01,1.43170927017432
1963-12-01,1.43170927017432
1964-01-01,1.43170927017432
1964-02-01,1.43170927017432
1964-03-01,1.44525856926115
1964-04-01,1.44977500229009
1964-05-01,1.44977500229009
1964-06-01,1.45429143531903
1964-07-01,1.46332430137691
1964-08-01,1.46784073440585
1964-09-01,1.47687360046373
1964-10-01,1.48139003349267
1964-11-01,1.49042289955056
1964-12-01,1.4949393325795
1965-01-01,1.49945576560844
1965-02-01,1.49945576560844
1965-03-01,1.50397219863738
1965-04-01,1.51300506469526
1965-05-01,1.51300506469526
1965-06-01,1.5175214977242
1965-07-01,1.52203793075314
1965-08-01,1.53107079681103
1965-09-01,1.53107079681103
1965-10-01,1.53558722983997
1965-11-01,1.54010366286891
1965-12-01,1.54462009589785
1966-01-01,1.54913652892679
1966-02-01,1.55816939498467
1966-03-01,1.55816939498467
1966-04-01,1.56268582801361
1966-05-01,1.55816939498467
1966-06-01,1.56720226104256
1966-07-01,1.56720226104256
1966-08-01,1.5717186940715
1966-09-01,1.5943008592162
1966-10-01,1.59881729224514
1966-11-01,1.59881729224514
1966-12-01,1.60333372527408
1967-01-01,1.60785015830302
1967-02-01,1.60785015830302
1967-03-01,1.61688302436091
1967-04-01,1.62139945738985
1967-05-01,1.62591589041879
1967-06-01,1.63043232344773
1967-07-01,1.63946518950561
1967-08-01,1.64398162253455
1967-09-01,1.64398162253455
1967-10-01,1.63946518950561
1967-11-01,1.63946518950561
1967-12-01,1.63946518950561
1968-01-01,1.63946518950561
1968-02-01,1.64398162253455
1968-03-01,1.64849805556349
1968-04-01,1.65301448859244
1968-05-01,1.65301448859244
1968-06-01,1.65753092162138
1968-07-01,1.66656378767926
1968-08-01,1.66656378767926
1968-09-01,1.67559665373714
1968-10-01,1.67559665373714
1968-11-01,1.68011308676608
1968-12-01,1.68462951979502
1969-01-01,1.68914595282396
1969-02-01,1.68914595282396
1969-03-01,1.70269525191079
1969-04-01,1.70721168493973
1969-05-01,1.71172811796867
1969-06-01,1.71172811796867
1969-07-01,1.71624455099761
1969-08-01,1.71624455099761
1969-09-01,1.72527741705549
1969-10-01,1.73431028311338
1969-11-01,1.73882671614232
1969-12-01,1.7478595822002
1970-01-01,1.7478595822002
1970-02-01,1.7478595822002
1970-03-01,1.7478595822002
1970-04-01,1.79385588699494
1970-05-01,1.79385588699494
1970-06-01,1.79385588699494
1970-07-01,1.79385588699494
1970-08-01,1.83985219178968
1970-09-01,1.83985219178968
1970-10-01,1.83985219178968
1970-11-01,1.83985219178968
1970-12-01,1.83985219178968
1971-01-01,1.83985219178968
1971-02-01,1.83985219178968
1971-03-01,1.88584849658442
1971-04-01,1.88584849658442
1971-05-01,1.88584849658442
1971-06-01,1.88584849658442
1971-07-01,1.88584849658442
1971-08-01,1.93184480137917
1971-09-01,1.93184480137917
1971-10-01,1.97784110617391
1971-11-01,1.97784110617391
1971-12-01,1.97784110617391
1972-01-01,1.97784110617391
1972-02-01,1.97784110617391
1972-03-01,1.97784110617391
1972-04-01,1.97784110617391
1972-05-01,1.97784110617391
1972-06-01,1.97784110617391
1972-07-01,2.02383741096865
1972-08-01,2.06983371576339
1972-09-01,2.06983371576339
1972-10-01,2.11583002055814
1972-11-01,2.11583002055814
1972-12-01,2.11583002055814
1973-01-01,2.11583002055814
1973-02-01,2.11583002055814
1973-03-01,2.16182632535288
1973-04-01,2.20782263014762
1973-05-01,2.20782263014762
1973-06-01,2.20782263014762
1973-07-01,2.25381893494236
1973-08-01,2.25381893494236
1973-09-01,2.25381893494236
1973-10-01,2.2998152397371
1973-11-01,2.2998152397371
1973-12-01,2.2998152397371
1974-01-01,2.34581154453185
1974-02-01,2.34581154453185
1974-03-01,2.39180784932659
1974-04-01,2.39180784932659
1974-05-01,2.43780415412133
1974-06-01,2.48380045891607
1974-07-01,2.48380045891607
1974-08-01,2.52979676371081
1974-09-01,2.57579306850556
1974-10-01,2.57579306850556
1974-11-01,2.6217893733003
1974-12-01,2.6217893733003
1975-01-01,2.66778567809504
1975-02-01,2.71378198288978
1975-03-01,2.71378198288978
1975-04-01,2.75977828768452
1975-05-01,2.75977828768452
